TestName,Metric,Value,Unit,Timestamp
EmbeddedBatchOperationThroughput,batch_write_10_latency,4.766088,ms,1751112559680
EmbeddedBatchOperationThroughput,batch_write_10_throughput,2098.156811,ops/sec,1751112559681
EmbeddedBatchOperationThroughput,batch_write_10_bandwidth,0.512245,MB/sec,1751112559681
EmbeddedBatchOperationThroughput,batch_get_10_latency,0.868766,ms,1751112559681
EmbeddedBatchOperationThroughput,batch_get_10_throughput,11510.579374,ops/sec,1751112559682
EmbeddedBatchOperationThroughput,batch_get_10_bandwidth,2.810200,MB/sec,1751112559682
EmbeddedBatchOperationThroughput,batch_write_50_latency,0.310806,ms,1751112559683
EmbeddedBatchOperationThroughput,batch_write_50_throughput,160872.055237,ops/sec,1751112559684
EmbeddedBatchOperationThroughput,batch_write_50_bandwidth,39.275404,MB/sec,1751112559684
EmbeddedBatchOperationThroughput,batch_get_50_latency,0.332648,ms,1751112559684
EmbeddedBatchOperationThroughput,batch_get_50_throughput,150309.035377,ops/sec,1751112559684
EmbeddedBatchOperationThroughput,batch_get_50_bandwidth,36.696542,MB/sec,1751112559684
EmbeddedBatchOperationThroughput,batch_write_100_latency,0.471095,ms,1751112559688
EmbeddedBatchOperationThroughput,batch_write_100_throughput,212271.410225,ops/sec,1751112559688
EmbeddedBatchOperationThroughput,batch_write_100_bandwidth,51.824075,MB/sec,1751112559688
EmbeddedBatchOperationThroughput,batch_get_100_latency,0.530017,ms,1751112559688
EmbeddedBatchOperationThroughput,batch_get_100_throughput,188673.193501,ops/sec,1751112559688
EmbeddedBatchOperationThroughput,batch_get_100_bandwidth,46.062791,MB/sec,1751112559688
EmbeddedBatchOperationThroughput,batch_write_500_latency,1.664405,ms,1751112559695
EmbeddedBatchOperationThroughput,batch_write_500_throughput,300407.653185,ops/sec,1751112559695
EmbeddedBatchOperationThroughput,batch_write_500_bandwidth,73.341712,MB/sec,1751112559695
EmbeddedBatchOperationThroughput,batch_get_500_latency,2.526459,ms,1751112559695
EmbeddedBatchOperationThroughput,batch_get_500_throughput,197905.447902,ops/sec,1751112559695
EmbeddedBatchOperationThroughput,batch_get_500_bandwidth,48.316760,MB/sec,1751112559695
EmbeddedBatchOperationThroughput,batch_write_1000_latency,1.894196,ms,1751112559703
EmbeddedBatchOperationThroughput,batch_write_1000_throughput,527928.472027,ops/sec,1751112559703
EmbeddedBatchOperationThroughput,batch_write_1000_bandwidth,128.888787,MB/sec,1751112559703
EmbeddedBatchOperationThroughput,batch_get_1000_latency,2.080123,ms,1751112559703
EmbeddedBatchOperationThroughput,batch_get_1000_throughput,480740.802347,ops/sec,1751112559703
EmbeddedBatchOperationThroughput,batch_get_1000_bandwidth,117.368360,MB/sec,1751112559703
