TestName,Metric,Value,Unit,Timestamp
RemoteBatchOperationThroughput,batch_write_10_latency,17.454932,ms,1751955425947
RemoteBatchOperationThroughput,batch_write_10_throughput,572.903979,ops/sec,1751955425948
RemoteBatchOperationThroughput,batch_write_10_bandwidth,0.139869,MB/sec,1751955425948
RemoteBatchOperationThroughput,batch_get_10_latency,17.401278,ms,1751955425948
RemoteBatchOperationThroughput,batch_get_10_throughput,574.670435,ops/sec,1751955425948
RemoteBatchOperationThroughput,batch_get_10_bandwidth,0.140300,MB/sec,1751955425949
RemoteBatchOperationThroughput,batch_write_50_latency,23.402538,ms,1751955425979
RemoteBatchOperationThroughput,batch_write_50_throughput,2136.520406,ops/sec,1751955425979
RemoteBatchOperationThroughput,batch_write_50_bandwidth,0.521611,MB/sec,1751955425979
RemoteBatchOperationThroughput,batch_get_50_latency,5.065595,ms,1751955425979
RemoteBatchOperationThroughput,batch_get_50_throughput,9870.508795,ops/sec,1751955425979
RemoteBatchOperationThroughput,batch_get_50_bandwidth,2.409792,MB/sec,1751955425980
RemoteBatchOperationThroughput,batch_write_100_latency,6.105682,ms,1751955425995
RemoteBatchOperationThroughput,batch_write_100_throughput,16378.186745,ops/sec,1751955425995
RemoteBatchOperationThroughput,batch_write_100_bandwidth,3.998581,MB/sec,1751955425995
RemoteBatchOperationThroughput,batch_get_100_latency,7.273495,ms,1751955425996
RemoteBatchOperationThroughput,batch_get_100_throughput,13748.548669,ops/sec,1751955425996
RemoteBatchOperationThroughput,batch_get_100_bandwidth,3.356579,MB/sec,1751955425996
RemoteBatchOperationThroughput,batch_write_500_latency,11.454352,ms,1751955426019
RemoteBatchOperationThroughput,batch_write_500_throughput,43651.530877,ops/sec,1751955426019
RemoteBatchOperationThroughput,batch_write_500_bandwidth,10.657112,MB/sec,1751955426019
RemoteBatchOperationThroughput,batch_get_500_latency,9.078387,ms,1751955426019
RemoteBatchOperationThroughput,batch_get_500_throughput,55075.863146,ops/sec,1751955426019
RemoteBatchOperationThroughput,batch_get_500_bandwidth,13.446256,MB/sec,1751955426019
RemoteBatchOperationThroughput,batch_write_1000_latency,13.536879,ms,1751955426046
RemoteBatchOperationThroughput,batch_write_1000_throughput,73872.271445,ops/sec,1751955426047
RemoteBatchOperationThroughput,batch_write_1000_bandwidth,18.035223,MB/sec,1751955426047
RemoteBatchOperationThroughput,batch_get_1000_latency,11.291668,ms,1751955426047
RemoteBatchOperationThroughput,batch_get_1000_throughput,88560.875151,ops/sec,1751955426047
RemoteBatchOperationThroughput,batch_get_1000_bandwidth,21.621307,MB/sec,1751955426047
